genus,family,order,class
Sundasciurus,Sciuridae,Rodentia,Mammalia
Viverra,Viverridae,Rodentia,Mammalia
Ammotragus,Bovidae,Rodentia,Mammalia
Camelus,Camelidae,Rodentia,Mammalia
Eospalax,Spalacidae,Rodentia,Mammalia
Galictis,Mustelidae,Rodentia,Mammalia
Geocapromys,Capromyidae,Rodentia,Mammalia
Homo,Hominidae,Rodentia,Mammalia
Lagostomus,Chinchillidae,Rodentia,Mammalia
Leptailurus,Felidae,Rodentia,Mammalia
Meles,Mustelidae,Rodentia,Mammalia
Pelomys,Muridae,Rodentia,Mammalia
Raphicerus,Bovidae,Rodentia,Mammalia
Atherurus,Hystricidae,Rodentia,Mammalia
Atilax,Herpestidae,Rodentia,Mammalia
Deomys,Muridae,Rodentia,Mammalia
Didelphidae,Didelphidae,Rodentia,Mammalia
Eubalaena,Balaenidae,Rodentia,Mammalia
Hippocamelus,Cervidae,Rodentia,Mammalia
Idiurus,Anomaluridae,Rodentia,Mammalia
Loris,Lorisidae,Rodentia,Mammalia
Miopithecus,Cercopithecidae,Rodentia,Mammalia
Naemorhedus,Bovidae,Rodentia,Mammalia
Rupicapra,Bovidae,Rodentia,Mammalia
Stochomys,Muridae,Rodentia,Mammalia
Thryonomys,Thryonomyidae,Rodentia,Mammalia
Viverricula,Viverridae,Rodentia,Mammalia
Bandicota,Muridae,Rodentia,Mammalia
Diceros,Rhinocerotidae,Rodentia,Mammalia
Dorcopsis,Macropodidae,Rodentia,Mammalia
Hippopotamus,Hippopotamidae,Rodentia,Mammalia
Mallomys,Muridae,Rodentia,Mammalia
Otaria,Otariidae,Rodentia,Mammalia
Phascogale,Dasyuridae,Rodentia,Mammalia
Dorcopsulus,Macropodidae,Rodentia,Mammalia
Helarctos,Ursidae,Rodentia,Mammalia
Hyaena,Hyaenidae,Rodentia,Mammalia
Hyomys,Muridae,Rodentia,Mammalia
Pardofelis,Felidae,Rodentia,Mammalia
Sylvisorex,Soricidae,Rodentia,Mammalia
Tremarctos,Ursidae,Rodentia,Mammalia
Zelotomys,Muridae,Rodentia,Mammalia
Amblysomus,Chrysochloridae,Rodentia,Mammalia
Berardius,Ziphiidae,Rodentia,Mammalia
Chodsigoa,Soricidae,Rodentia,Mammalia
Crunomys,Muridae,Rodentia,Mammalia
Cryptonanus,Didelphidae,Rodentia,Mammalia
Eudorcas,Bovidae,Rodentia,Mammalia
Mandrillus,Cercopithecidae,Rodentia,Mammalia
Myomyscus,Muridae,Rodentia,Mammalia
Myoxus,Gliridae,Rodentia,Mammalia
Podogymnura,Erinaceidae,Rodentia,Mammalia
Symphalangus,Hylobatidae,Rodentia,Mammalia
Syncerus,Bovidae,Rodentia,Mammalia
Taeromys,Muridae,Rodentia,Mammalia
Tapecomys,Cricetidae,Rodentia,Mammalia
Aepyprymnus,Potoroidae,Rodentia,Mammalia
Brachytarsomys,Nesomyidae,Rodentia,Mammalia
Cercocebus,Cercopithecidae,Rodentia,Mammalia
Cetacea,NA,Rodentia,Mammalia
Hylochoerus,Suidae,Rodentia,Mammalia
Leporidae,Leporidae,Rodentia,Mammalia
Orycteropus,Orycteropodidae,Rodentia,Mammalia
Pteromys,Sciuridae,Rodentia,Mammalia
Pygathrix,Cercopithecidae,Rodentia,Mammalia
Tamiops,Sciuridae,Rodentia,Mammalia
Wallabia,Macropodidae,Rodentia,Mammalia
Arctogalidia,Viverridae,Rodentia,Mammalia
Hylopetes,Sciuridae,Rodentia,Mammalia
Mellivora,Mustelidae,Rodentia,Mammalia
Pontoporia,Pontoporiidae,Rodentia,Mammalia
Propithecus,Indriidae,Rodentia,Mammalia
Vicugna,Camelidae,Rodentia,Mammalia
cf.,NA,Rodentia,NA
Caluronmys,NA,Rodentia,NA
Chiruromys,Muridae,Rodentia,Mammalia
Dactylopsila,Petauridae,Rodentia,Mammalia
Dasyuroides,Dasyuridae,Rodentia,Mammalia
Dinomys,Dinomyidae,Rodentia,Mammalia
Leopoldamys,Muridae,Rodentia,Mammalia
Melogale,Mustelidae,Rodentia,Mammalia
Mystromys,Nesomyidae,Rodentia,Mammalia
Otocolobus,Felidae,Rodentia,Mammalia
Peroryctes,Peroryctidae,Rodentia,Mammalia
Pilocolobus,NA,Rodentia,NA
Plesiadapis,NA,Rodentia,NA
Soricidae,Soricidae,Rodentia,Mammalia
Ursidae,Ursidae,Rodentia,Mammalia
Addax,Bovidae,Rodentia,Mammalia
Blarinella,Soricidae,Rodentia,Mammalia
Camelops,Camelidae,Rodentia,Mammalia
Cynictis,Herpestidae,Rodentia,Mammalia
Hemibelideus,Pseudocheiridae,Rodentia,Mammalia
Hydrurga,Phocidae,Rodentia,Mammalia
Oreotragus,Bovidae,Rodentia,Mammalia
Planigale,Dasyuridae,Rodentia,Mammalia
Atlantoxerus,Sciuridae,Rodentia,Mammalia
Brachyuromys,Nesomyidae,Rodentia,Mammalia
Bubalus,Bovidae,Rodentia,Mammalia
Choeropsis,Hippopotamidae,Rodentia,Mammalia
Clyomys,Echimyidae,Rodentia,Mammalia
Colomys,Muridae,Rodentia,Mammalia
Halichoerus,Phocidae,Rodentia,Mammalia
Hemitragus,Bovidae,Rodentia,Mammalia
Hydrochaeris,Hydrochaeridae,Rodentia,Mammalia
Leptonychotes,Phocidae,Rodentia,Mammalia
Margaretamys,Muridae,Rodentia,Mammalia
Melursus,Ursidae,Rodentia,Mammalia
Neotoma-h,NA,Rodentia,NA
Nyctereutes,Canidae,Rodentia,Mammalia
Okapia,Giraffidae,Rodentia,Mammalia
Scapteromys,Cricetidae,Rodentia,Mammalia
Sciuropterus,NA,Rodentia,NA
Sigmodontomys,Cricetidae,Rodentia,Mammalia
Sooretamys,Cricetidae,Rodentia,Mammalia
Suidae,Suidae,Rodentia,Mammalia
Aarat,NA,Rodentia,NA
Beamys,Nesomyidae,Rodentia,Mammalia
Canidae,Canidae,Rodentia,Mammalia
Dremomys,Sciuridae,Rodentia,Mammalia
Elaphodus,Cervidae,Rodentia,Mammalia
Elephantidae,Elephantidae,Rodentia,Mammalia
Georychus,Bathyergidae,Rodentia,Mammalia
Hapalemur,Lemuridae,Rodentia,Mammalia
Hemiauchenia,NA,Rodentia,NA
Lutreolina,Didelphidae,Rodentia,Mammalia
Protoxerus,Sciuridae,Rodentia,Mammalia
Rheomys,Cricetidae,Rodentia,Mammalia
Solenodon,Solenodontidae,Rodentia,Mammalia
Tanyuromys,Cricetidae,Rodentia,Mammalia
Aethoglis,NA,Rodentia,NA
Chlorocebus,Cercopithecidae,Rodentia,Mammalia
Claviglis,NA,Rodentia,NA
Dama,Cervidae,Rodentia,Mammalia
Elaphurus,Cervidae,Rodentia,Mammalia
Galagoides,Galagidae,Rodentia,Mammalia
Inia,Iniidae,Rodentia,Mammalia
Loncheres,NA,Rodentia,NA
Mimomys,NA,Rodentia,NA
Podoxymys,Cricetidae,Rodentia,Mammalia
Priodontes,Chlamyphoridae,Rodentia,Mammalia
Rucervus,Cervidae,Rodentia,Mammalia
Setonix,Macropodidae,Rodentia,Mammalia
Spermophilopsis,Sciuridae,Rodentia,Mammalia
Babyrousa,Suidae,Rodentia,Mammalia
Caenolestes,Caenolestidae,Rodentia,Mammalia
Carnivora,NA,Rodentia,Mammalia
Cephalorhynchus,Delphinidae,Rodentia,Mammalia
Delphinidae,Delphinidae,Rodentia,Mammalia
Distoechurus,Acrobatidae,Rodentia,Mammalia
Felidae,Felidae,Rodentia,Mammalia
Hylomys,Erinaceidae,Rodentia,Mammalia
Makalata,Echimyidae,Rodentia,Mammalia
Mammut,Elephantidae,Rodentia,Mammalia
Mammuthus,Elephantidae,Rodentia,Mammalia
Mestuela,NA,Rodentia,NA
Monachus,Phocidae,Rodentia,Mammalia
Muscardinus,Gliridae,Rodentia,Mammalia
Myoictis,Dasyuridae,Rodentia,Mammalia
Nesomys,Nesomyidae,Rodentia,Mammalia
Ourebia,Bovidae,Rodentia,Mammalia
Proboscidipparion,NA,Rodentia,NA
Pseudantechinus,Dasyuridae,Rodentia,Mammalia
Pseudorca,Delphinidae,Rodentia,Mammalia
Steno,Delphinidae,Rodentia,Mammalia
Thylacinus,Thylacinidae,Rodentia,Mammalia
Typhlomys,Platacanthomyidae,Rodentia,Mammalia
Uranomys,Muridae,Rodentia,Mammalia
Vandeleuria,Muridae,Rodentia,Mammalia
Ailurops,Phalangeridae,Rodentia,Mammalia
Allenopithecus,Cercopithecidae,Rodentia,Mammalia
Antechinomys,Dasyuridae,Rodentia,Mammalia
Bathyergus,Bathyergidae,Rodentia,Mammalia
Capricornis,Bovidae,Rodentia,Mammalia
Catopuma,Felidae,Rodentia,Mammalia
Chimarrogale,Soricidae,Rodentia,Mammalia
Conilurus,Muridae,Rodentia,Mammalia
Didelphimorphia,NA,Rodentia,Mammalia
Episoriculus,Soricidae,Rodentia,Mammalia
Neusticomys,Cricetidae,Rodentia,Mammalia
Pachyuromys,Muridae,Rodentia,Mammalia
Pliomys,NA,Rodentia,NA
Potamogale,Tenrecidae,Rodentia,Mammalia
Procolobus,Cercopithecidae,Rodentia,Mammalia
Prosciurillus,Sciuridae,Rodentia,Mammalia
Adenota,NA,Rodentia,NA
Bibimys,Cricetidae,Rodentia,Mammalia
Brucepattersonius,Cricetidae,Rodentia,Mammalia
Cebidae,Cebidae,Rodentia,Mammalia
Cheirogaleus,Cheirogaleidae,Rodentia,Mammalia
Crateromys,Muridae,Rodentia,Mammalia
Dactylomys,Echimyidae,Rodentia,Mammalia
Democricetodon,NA,Rodentia,NA
Dendrogale,Tupaiidae,Rodentia,Mammalia
Desmomys,Muridae,Rodentia,Mammalia
Echinosorex,Erinaceidae,Rodentia,Mammalia
Eliurus,Nesomyidae,Rodentia,Mammalia
Geomyidae,Geomyidae,Rodentia,Mammalia
Gymnuromys,Nesomyidae,Rodentia,Mammalia
Herpailurus,Felidae,Rodentia,Mammalia
Hyperoodon,Ziphiidae,Rodentia,Mammalia
Isothrix,Echimyidae,Rodentia,Mammalia
Isthmomys,Cricetidae,Rodentia,Mammalia
Kerodon,Caviidae,Rodentia,Mammalia
Leggadina,Muridae,Rodentia,Mammalia
Leptomys,Muridae,Rodentia,Mammalia
MIcrotus,Cricetidae,Rodentia,Mammalia
Malacothrix,Asteraceae,Rodentia,Magnoliopsida
Moschus,Moschidae,Rodentia,Mammalia
Murinae,Muridae,Rodentia,Mammalia
Notosciurus,NA,Rodentia,NA
Paguma,Viverridae,Rodentia,Mammalia
Pantholops,Bovidae,Rodentia,Mammalia
Petinomys,Sciuridae,Rodentia,Mammalia
Phascomurexia,Dasyuridae,Rodentia,Mammalia
Plagiodontia,Capromyidae,Rodentia,Mammalia
Procapra,Bovidae,Rodentia,Mammalia
Protoceras,NA,Rodentia,NA
Pseudois,Bovidae,Rodentia,Mammalia
Pteronura,Mustelidae,Rodentia,Mammalia
Pteropus,Pteropodidae,Rodentia,Mammalia
Rhizomys,Spalacidae,Rodentia,Mammalia
Salinoctomys,Octodontidae,Rodentia,Mammalia
Scaptonyx,Talpidae,Rodentia,Mammalia
Spalax,Spalacidae,Rodentia,Mammalia
Stockoceros,NA,Rodentia,NA
Tasmacetus,Ziphiidae,Rodentia,Mammalia
Volemys,Cricetidae,Rodentia,Mammalia
Vormela,Mustelidae,Rodentia,Mammalia
Wiedomys,Cricetidae,Rodentia,Mammalia
sigmodon,Cricetidae,Rodentia,Mammalia
Aethosciurus,NA,Rodentia,NA
Arctonyx,Mustelidae,Rodentia,Mammalia
Artiodactyla,NA,Rodentia,Mammalia
Arvicolinae,Cricetidae,Rodentia,Mammalia
Avahi,Indriidae,Rodentia,Mammalia
Cacajao,Pitheciidae,Rodentia,Mammalia
Caluromysiops,Didelphidae,Rodentia,Mammalia
Cannomys,Spalacidae,Rodentia,Mammalia
Capromeryx,NA,Rodentia,NA
Cheirogaleidae,Cheirogaleidae,Rodentia,Mammalia
Chlamyphorus,Chlamyphoridae,Rodentia,Mammalia
Crossarchus,Herpestidae,Rodentia,Mammalia
Cuon,Canidae,Rodentia,Mammalia
Dugong,Dugongidae,Rodentia,Mammalia
Eoglaucomys,Sciuridae,Rodentia,Mammalia
Euroscaptor,Talpidae,Rodentia,Mammalia
Fiber,NA,Rodentia,NA
Galeopterus,Cynocephalidae,Rodentia,Mammalia
Hesperomys,NA,Rodentia,NA
Hippopotamidae,Hippopotamidae,Rodentia,Mammalia
Hydrictis,Mustelidae,Rodentia,Mammalia
Lophocebus,Cercopithecidae,Rodentia,Mammalia
Macrotis,Peramelidae,Rodentia,Mammalia
Mammutidae,NA,Rodentia,NA
Menetes,Sciuridae,Rodentia,Mammalia
Neosorex,NA,Rodentia,NA
Nesorex,NA,Rodentia,NA
Notiomys,Cricetidae,Rodentia,Mammalia
Ozotoceros,Cervidae,Rodentia,Mammalia
Peponocephala,Delphinidae,Rodentia,Mammalia
Pinnipedia,NA,Rodentia,NA
Plesiohipparion,NA,Rodentia,NA
Poecilogale,Mustelidae,Rodentia,Mammalia
Primates,NA,Rodentia,Mammalia
Rusa,Cervidae,Rodentia,Mammalia
Sotalia,Delphinidae,Rodentia,Mammalia
Tarsipes,Tarsipedidae,Rodentia,Mammalia
Xenothrix,Pitheciidae,Rodentia,Mammalia
Zygogeomys,Geomyidae,Rodentia,Mammalia
Beremendia,NA,Rodentia,NA
Bunopithecus,Hylobatidae,Rodentia,Mammalia
Bustylus,NA,Rodentia,NA
Carlito,Tarsiidae,Rodentia,Mammalia
Cebuella,Cebidae,Rodentia,Amphibia
Cuniculidae,Cuniculidae,Rodentia,Mammalia
Cynogale,Viverridae,Rodentia,Mammalia
Dasycercus,Dasyuridae,Rodentia,Mammalia
Daubentonia,Daubentoniidae,Rodentia,Mammalia
Dicerorhinus,Rhinocerotidae,Rodentia,Mammalia
Dinofelis,NA,Rodentia,NA
Eumyarion,NA,Rodentia,NA
Euxerus,NA,Rodentia,NA
Galemys,Talpidae,Rodentia,Mammalia
Homotherium,Felidae,Rodentia,Mammalia
Hyaenidae,Hyaenidae,Rodentia,Mammalia
Hyelaphus,Cervidae,Rodentia,Mammalia
Indri,Indriidae,Rodentia,Mammalia
Megacricetodon,NA,Rodentia,NA
Muroidea,NA,Rodentia,Mammalia
Myxomygale,NA,Rodentia,NA
Nannospalax,Spalacidae,Rodentia,Mammalia
Neophocaena,Phocoenidae,Rodentia,Mammalia
Parahyaena,Hyaenidae,Rodentia,Mammalia
Pelea,Bovidae,Rodentia,Mammalia
Piliocolobus,Cercopithecidae,Rodentia,Mammalia
Poelagus,Leporidae,Rodentia,Mammalia
Putorius,NA,Rodentia,NA
Stephanorhinus,Rhinocerotidae,Rodentia,Mammalia
Strepsiceros,NA,Rodentia,NA
Tetracerus,Bovidae,Rodentia,Mammalia
Allocricetus,NA,Rodentia,NA
Aztlanolagus,NA,Rodentia,NA
Bdeogale,Herpestidae,Rodentia,Mammalia
Boocercus,NA,Rodentia,NA
Boselaphus,Bovidae,Rodentia,Mammalia
Bransatoglis,NA,Rodentia,NA
Budorcas,Bovidae,Rodentia,Mammalia
Camelidae,Camelidae,Rodentia,Mammalia
Caprinae,Bovidae,Rodentia,Mammalia
Caviella,NA,Rodentia,NA
Cephalopachus,Tarsiidae,Rodentia,Mammalia
Cercopithecidae,Cercopithecidae,Rodentia,Mammalia
Cerecopithecus,NA,Rodentia,NA
Chiromyoides,NA,Rodentia,NA
Chlorotalpa,Chrysochloridae,Rodentia,Mammalia
Cormohipparion,NA,Rodentia,NA
Cryptoprocta,Eupleridae,Rodentia,Mammalia
Desmana,Talpidae,Rodentia,Mammalia
Dimyloides,NA,Rodentia,NA
Diprotodontia,NA,Rodentia,Mammalia
Euarctos,Ursidae,Rodentia,Mammalia
Euceratherium,NA,Rodentia,NA
Eucladoceros,NA,Rodentia,NA
Euoticus,Galagidae,Rodentia,Mammalia
Eupleres,Eupleridae,Rodentia,Mammalia
Galenomys,Cricetidae,Rodentia,Mammalia
Galidia,Eupleridae,Rodentia,Mammalia
Galidictis,Eupleridae,Rodentia,Mammalia
Giraffidae,Giraffidae,Rodentia,Mammalia
Glirudinus,NA,Rodentia,NA
Glirulus,Gliridae,Rodentia,Mammalia
Hemigalus,Viverridae,Rodentia,Mammalia
Heteroxerus,NA,Rodentia,NA
Hyracoidea,NA,Rodentia,Mammalia
Lagenodelphis,Delphinidae,Rodentia,Mammalia
Limnogale,Tenrecidae,Rodentia,Mammalia
Limnotragus,NA,Rodentia,NA
Malpaisomys,Muridae,Rodentia,Mammalia
Marsupialia,NA,Rodentia,Mammalia
Megaloceros,Cervidae,Rodentia,Mammalia
Megantereon,NA,Rodentia,NA
Millardia,Muridae,Rodentia,Mammalia
Miosorex,NA,Rodentia,NA
Mirza,Cheirogaleidae,Rodentia,Mammalia
Mustelidae,Mustelidae,Rodentia,Mammalia
Myrmecobius,Myrmecobiidae,Rodentia,Mammalia
Ningaui,Dasyuridae,Rodentia,Mammalia
Pachycrocuta,NA,Rodentia,NA
Pentalagus,Leporidae,Rodentia,Mammalia
Pronothodectes,NA,Rodentia,NA
Rhinocerotidae,Rhinocerotidae,Rodentia,Mammalia
Rhodanomys,NA,Rodentia,NA
Rhyncholestes,Caenolestidae,Rodentia,Mammalia
Sciurillus,Sciuridae,Rodentia,Mammalia
Sigmoceros,NA,Rodentia,NA
Soricella,NA,Rodentia,NA
Synexallerix,NA,Rodentia,NA
Tenrecidae,Tenrecidae,Rodentia,Mammalia
Tetraclaenodon,NA,Rodentia,NA
Zaglossus,Tachyglossidae,Rodentia,Mammalia
aff.,NA,Rodentia,NA
Achaenodon,NA,Rodentia,NA
Adapisorex,NA,Rodentia,NA
Adapisoriculidae,NA,Rodentia,NA
Adelomyarion,NA,Rodentia,NA
Ailuropoda,Ursidae,Rodentia,Mammalia
Alcelaphini,NA,Rodentia,NA
Alloptox,NA,Rodentia,NA
Amblonyx,Mustelidae,Rodentia,Mammalia
Amphechinus,NA,Rodentia,NA
Amphiperatherium,NA,Rodentia,NA
Anisomys,Muridae,Rodentia,Mammalia
Anomalomys,NA,Rodentia,NA
Antilopinae,Bovidae,Rodentia,Mammalia
Arctocebus,Lorisidae,Rodentia,Mammalia
Arctocyonides,NA,Rodentia,NA
Australopithecus,NA,Rodentia,NA
Autoceta-Odontoceti,NA,Rodentia,Mammalia
Belomys,Sciuridae,Rodentia,Mammalia
Berylmys,Muridae,Rodentia,Mammalia
Bibos,NA,Rodentia,NA
Bootherium,Bovidae,Rodentia,Mammalia
Brachyprotoma,NA,Rodentia,NA
Brachyrhizomys,NA,Rodentia,NA
Cainotherium,NA,Rodentia,NA
Caperea,Neobalaenidae,Rodentia,Mammalia
Carterodon,Echimyidae,Rodentia,Mammalia
Centetodon,NA,Rodentia,NA
Cercopithecoides,NA,Rodentia,NA
Cervavitus,NA,Rodentia,NA
Chainodus,NA,Rodentia,NA
Chasmaporthetes,NA,Rodentia,NA
Chinchillidae,Chinchillidae,Rodentia,Mammalia
Chinchillula,Cricetidae,Rodentia,Mammalia
Chiropotes,Pitheciidae,Rodentia,Mammalia
Cricetodon,NA,Rodentia,NA
Crossomys,Muridae,Rodentia,Mammalia
Desmanodon,NA,Rodentia,NA
Diaphyodectes,NA,Rodentia,NA
Dinosorex,NA,Rodentia,NA
Diplomesodon,Soricidae,Rodentia,Mammalia
Dryomimus,NA,Rodentia,NA
Dusisiren,NA,Rodentia,NA
Echimyidae,Echimyidae,Rodentia,Mammalia
Echiothrix,Muridae,Rodentia,Mammalia
Eomyodon,NA,Rodentia,NA
Eremitalpa,Chrysochloridae,Rodentia,Mammalia
Eucricetodon,NA,Rodentia,NA
Feresa,Delphinidae,Rodentia,Mammalia
Florinia,NA,Rodentia,NA
Fossa,Eupleridae,Rodentia,Mammalia
Galerix,NA,Rodentia,NA
Gallogoral,NA,Rodentia,NA
Gazellospira,NA,Rodentia,NA
Geotrypus,NA,Rodentia,NA
Gomphotherium,NA,Rodentia,NA
Gymnobelideus,Petauridae,Rodentia,Mammalia
Hapalomys,Muridae,Rodentia,Mammalia
Herpestidae,Herpestidae,Rodentia,Mammalia
Heterosorex,NA,Rodentia,NA
Hexaprotodon,Hippopotamidae,Rodentia,Mammalia
Hugueneya,NA,Rodentia,NA
Hyemoschus,Tragulidae,Rodentia,Mammalia
Hylobatidae,Hylobatidae,Rodentia,Mammalia
Hypolagus,NA,Rodentia,NA
Hyrax,NA,Rodentia,NA
Kunsia,Cricetidae,Rodentia,Mammalia
Lartetium,NA,Rodentia,NA
Leptobos,NA,Rodentia,NA
Lutrinae,Mustelidae,Rodentia,Mammalia
Lycyaenops,NA,Rodentia,NA
Machairodontinae,NA,Rodentia,NA
Mastacomys,Muridae,Rodentia,Mammalia
Megalotragus,NA,Rodentia,NA
Megalovis,NA,Rodentia,NA
Megapeomys,NA,Rodentia,NA
Mentoclaenodon,NA,Rodentia,NA
Mesembriomys,Muridae,Rodentia,Mammalia
Mesocapromys,Capromyidae,Rodentia,Mammalia
Metacervulus,NA,Rodentia,NA
Microdyromys,NA,Rodentia,NA
Micropotamogale,Tenrecidae,Rodentia,Mammalia
Myotis,Vespertilionidae,Rodentia,Mammalia
Myrmecoboides,NA,Rodentia,NA
Myrmecophagidae,Myrmecophagidae,Rodentia,Mammalia
Nanosiren,NA,Rodentia,NA
Nectogale,Soricidae,Rodentia,Mammalia
Neocometes,NA,Rodentia,NA
Neocricetodon,NA,Rodentia,NA
Nesodon,NA,Rodentia,NA
Nestoritherium,NA,Rodentia,NA
Notoryctes,Notoryctidae,Rodentia,Mammalia
Ommatophoca,Phocidae,Rodentia,Mammalia
Oncifelis,Felidae,Rodentia,Mammalia
Onotragus,NA,Rodentia,NA
Otariidae,Otariidae,Rodentia,Mammalia
Paenelimnoecus,NA,Rodentia,NA
Pagophilus,NA,Rodentia,NA
Paracynictis,Herpestidae,Rodentia,Mammalia
Parahydromys,Muridae,Rodentia,Mammalia
Paramachaerodus,NA,Rodentia,NA
Paratalpa,NA,Rodentia,NA
Paratricuspiodon,NA,Rodentia,NA
Percymygale,NA,Rodentia,NA
Peridyromys,NA,Rodentia,NA
Phalangeridae,Phalangeridae,Rodentia,Mammalia
Piezodus,NA,Rodentia,NA
Plesiosminthus,NA,Rodentia,NA
Pliotragus,NA,Rodentia,NA
Procamptoceras,NA,Rodentia,NA
Procaviidae,Procaviidae,Rodentia,Mammalia
Procynocephalus,NA,Rodentia,NA
Prolouisina,NA,Rodentia,NA
Prometheomys,Cricetidae,Rodentia,Mammalia
Pronolagus,Leporidae,Rodentia,Mammalia
Prosansanosmilus,NA,Rodentia,NA
Proscapanus,NA,Rodentia,NA
Pseudalopex,NA,Rodentia,NA
Pseudocricetodon,NA,Rodentia,NA
Pseudotheridomys,NA,Rodentia,NA
Ptilocercus,Tupaiidae,Rodentia,Mammalia
Rhizospalax,NA,Rodentia,NA
Saxonella,NA,Rodentia,NA
Scaptochirus,Talpidae,Rodentia,Mammalia
Sciurotamias,Sciuridae,Rodentia,Mammalia
Sinomastodon,NA,Rodentia,NA
Smilodon,Felidae,Rodentia,Mammalia
Solomys,Muridae,Rodentia,Mammalia
Sousa,Delphinidae,Rodentia,Mammalia
Spalacotherium,NA,Rodentia,NA
Suevoglis,NA,Rodentia,NA
Talpidae,Talpidae,Rodentia,Mammalia
Tragelaphini,NA,Rodentia,NA
Tragulidae,Tragulidae,Rodentia,Mammalia
Trogontherium,NA,Rodentia,NA
Trogopterus,Sciuridae,Rodentia,Mammalia
Viverrinae,Viverridae,Rodentia,Mammalia
Walbeckodon,NA,Rodentia,NA
Xaymaca,NA,Rodentia,NA
Zygolophodon,NA,Rodentia,NA
