genus,family,order,class
Philander,Didelphidae,Rodentia,Mammalia
Ellobius,Cricetidae,Rodentia,Mammalia
Arvicanthis,Muridae,Rodentia,Mammalia
Presbytis,Cercopithecidae,Rodentia,Mammalia
Neofiber,Cricetidae,Rodentia,Mammalia
Podomys,Cricetidae,Rodentia,Mammalia
Dasypus,Dasypodidae,Rodentia,Mammalia
Hylobates,Hylobatidae,Rodentia,Mammalia
Equus,Equidae,Rodentia,Mammalia
Octodon,Octodontidae,Rodentia,Mammalia
Monodelphis,Didelphidae,Rodentia,Mammalia
Myocastor,Myocastoridae,Rodentia,Mammalia
Parascalops,Talpidae,Rodentia,Mammalia
Jaculus,Dipodidae,Rodentia,Mammalia
Maxomys,Muridae,Rodentia,Mammalia
Holochilus,Cricetidae,Rodentia,Mammalia
Oryctolagus,Leporidae,Rodentia,Mammalia
Sus,Suidae,Rodentia,Mammalia
Citellus,NA,Rodentia,NA
Felis,Felidae,Rodentia,Mammalia
Acomys,Muridae,Rodentia,Mammalia
Nyctomys,Cricetidae,Rodentia,Mammalia
Gerbillurus,Muridae,Rodentia,Mammalia
Euryoryzomys,Cricetidae,Rodentia,Mammalia
Eothenomys,Cricetidae,Rodentia,Mammalia
Brachylagus,Leporidae,Rodentia,Mammalia
Microgale,Tenrecidae,Rodentia,Mammalia
Paramelomys,Muridae,Rodentia,Mammalia
Balaena,Balaenidae,Rodentia,Mammalia
Pappogeomys,Geomyidae,Rodentia,Mammalia
Ovis,Bovidae,Rodentia,Mammalia
Petromyscus,Nesomyidae,Rodentia,Mammalia
Niviventer,Muridae,Rodentia,Mammalia
Habromys,Cricetidae,Rodentia,Mammalia
Hylaeamys,Cricetidae,Rodentia,Mammalia
Eliomys,Gliridae,Rodentia,Mammalia
Gerbillus,Muridae,Rodentia,Mammalia
Macropus,Macropodidae,Rodentia,Mammalia
Oxymycterus,Cricetidae,Rodentia,Mammalia
Eolagurus,Cricetidae,Rodentia,Mammalia
Stylodipus,Dipodidae,Rodentia,Mammalia
Eumetopias,Otariidae,Rodentia,Mammalia
Phocoena,Phocoenidae,Rodentia,Mammalia
Conepatus,Mephitidae,Rodentia,Mammalia
Rhabdomys,Muridae,Rodentia,Mammalia
Suncus,Soricidae,Rodentia,Mammalia
Cavia,Caviidae,Rodentia,Mammalia
Ototylomys,Cricetidae,Rodentia,Mammalia
Rodentia,NA,Rodentia,Mammalia
Euneomys,Cricetidae,Rodentia,Mammalia
Loxodonta,Elephantidae,Rodentia,Mammalia
Xerus,Sciuridae,Rodentia,Mammalia
Macroscelides,Macroscelididae,Rodentia,Mammalia
Micoureus,Didelphidae,Rodentia,Mammalia
Orthogeomys,Geomyidae,Rodentia,Mammalia
Rhipidomys,Cricetidae,Rodentia,Mammalia
Pitymys,Cricetidae,Rodentia,Mammalia
Gerbilliscus,Muridae,Rodentia,Mammalia
Metachirus,Didelphidae,Rodentia,Mammalia
Phalanger,Phalangeridae,Rodentia,Mammalia
Lophuromys,Muridae,Rodentia,Mammalia
Tursiops,Delphinidae,Rodentia,Mammalia
Lasiopodomys,Cricetidae,Rodentia,Mammalia
Muridae,Muridae,Rodentia,Mammalia
Saguinus,Cebidae,Rodentia,Mammalia
Auliscomys,Cricetidae,Rodentia,Mammalia
Trichosurus,Phalangeridae,Rodentia,Mammalia
Echymipera,Peroryctidae,Rodentia,Mammalia
Bunomys,Muridae,Rodentia,Mammalia
Syntheosciurus,Sciuridae,Rodentia,Mammalia
Pecari,Tayassuidae,Rodentia,Mammalia
Nectomys,Cricetidae,Rodentia,Mammalia
Nasua,Procyonidae,Rodentia,Mammalia
Dasyprocta,Dasyproctidae,Rodentia,Mammalia
Mazama,Cervidae,Rodentia,Mammalia
Lasiorhinus,Vombatidae,Rodentia,Mammalia
Panthera,Felidae,Rodentia,Mammalia
Saimiri,Cebidae,Rodentia,Mammalia
Arvicola,Cricetidae,Rodentia,Mammalia
Paruromys,Muridae,Rodentia,Mammalia
Eurygnathohippus,NA,Rodentia,NA
Antilocapra,Antilocapridae,Rodentia,Mammalia
Galago,Galagidae,Rodentia,Mammalia
Handleyomys,Cricetidae,Rodentia,Mammalia
Hydrochoerus,Hydrochaeridae,Rodentia,Mammalia
Chinchilla,Chinchillidae,Rodentia,Mammalia
Lagenorhynchus,Delphinidae,Rodentia,Mammalia
Pseudomys,Muridae,Rodentia,Mammalia
Catagonus,Tayassuidae,Rodentia,Mammalia
Heterocephalus,Bathyergidae,Rodentia,Mammalia
Cebus,Cebidae,Rodentia,Mammalia
Galea,Caviidae,Rodentia,Mammalia
Callorhinus,Otariidae,Rodentia,Mammalia
Cricetidae,Cricetidae,Rodentia,Mammalia
Tamandua,Myrmecophagidae,Rodentia,Mammalia
Nasalis,Cercopithecidae,Rodentia,Mammalia
Neotomodon,Cricetidae,Rodentia,Mammalia
Antechinus,Dasyuridae,Rodentia,Mammalia
Praomys,Muridae,Rodentia,Mammalia
Andalgalomys,Cricetidae,Rodentia,Mammalia
