eventID,country,locality,yearCollected,samplingProtocol,materialSampleID,basisOfRecord,scientificName,diagnosticID,measurementMethod,measurementUnit,measurementType,measurementValue,verbatimEventDate,catalogNumber,references,individualID,collectionCode,institutionCode,lifeStage,measurementRemarks,measurementDeterminedDate,measurementAccuracy,materialSampleType,decimalLatitude,decimalLongitude,verbatimLocality,verbatimLatitude,verbatimLongitude,verbatimElevation,verbatimDepth,minimumDepthInMeters,minimumElevationInMeters,maximumElevationInMeters,maximumDepthInMeters,latestAgeOrHighestStage,latestEonOrHighestEonotheme,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,group,formation,member,minimumChronometricAge,minimumChronometricAgeReferenceSystem,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,eventRemarks,culturalRegions,culturalContext,bed,culturalOccupationPeriod,culturalAffiliations,coordinateUncertaintyInMeters,chronometricAgeUncertaintyInYears,chronometricAgeUncertaintyMethod,chronometricAgeProtocol,chronometricAgeID,lithostratigraphicTerms,maximumChronometricAge,maximumChronometricAgeReferenceSystem,geologicalContextID,lowestBiostratigraphicZone,highestBiostratigraphicZone,stateProvince,waterBody,islandGroup,island,institutionID,datasetName,dynamicProperties,fieldNumber,informationWithheld,verbatimLifeStage,occurrenceID,otherCatalogNumbers,previousIdentifications,sex,measurementSide,measurementDeterminedBy,materialSampleCondition,ageEstimationMethod,ageUnit,ageValue,reproductiveCondition,verbatimAgeValue,Diagnostics_bcid,Event_bcid,Sample_bcid,expeditionCode,projectId
6395d6c0a6e543b587c3ae381546e52e,Unknown,Unknown,unknown,Unknown,6395d6c0a6e543b587c3ae381546e52e,FossilSpecimen,Equus stenonis (vireti),1833,Unknown,mm,breadth of the trochlea of talus,32.4,,,,NHML 20.163523,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,mya,,,,,,,,,,,,,,,,,,2.4,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,2.4,https://n2t.net/ark:/21547/DbL21833,https://n2t.net/ark:/21547/DbJ26395d6c0a6e543b587c3ae381546e52e,https://n2t.net/ark:/21547/DbK26395d6c0a6e543b587c3ae381546e52e,FEBG,314
6395d6c0a6e543b587c3ae381546e52e,Unknown,Unknown,unknown,Unknown,6395d6c0a6e543b587c3ae381546e52e,FossilSpecimen,Equus stenonis (vireti),524,Unknown,mm,talus length,68.1,,,,NHML 20.163523,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,mya,,,,,,,,,,,,,,,,,,2.4,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,2.4,https://n2t.net/ark:/21547/DbL2524,https://n2t.net/ark:/21547/DbJ26395d6c0a6e543b587c3ae381546e52e,https://n2t.net/ark:/21547/DbK26395d6c0a6e543b587c3ae381546e52e,FEBG,314
6395d6c0a6e543b587c3ae381546e52e,Unknown,Unknown,unknown,Unknown,6395d6c0a6e543b587c3ae381546e52e,FossilSpecimen,Equus stenonis (vireti),3872,Unknown,mm,depth of the medial side of talus,61.9,,,,NHML 20.163523,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,mya,,,,,,,,,,,,,,,,,,2.4,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,2.4,https://n2t.net/ark:/21547/DbL23872,https://n2t.net/ark:/21547/DbJ26395d6c0a6e543b587c3ae381546e52e,https://n2t.net/ark:/21547/DbK26395d6c0a6e543b587c3ae381546e52e,FEBG,314
63a80d098526458fb7361346cfe39a37,Unknown,Tizi'n Tadderht,unknown,Unknown,63a80d098526458fb7361346cfe39a37,FossilSpecimen,Hippotherium  intrans,611,Unknown,mm,talus length,56.4,,,,MAFIV15782,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,10,mya,,,,,,,,,,,,,,,,,,10,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,10,https://n2t.net/ark:/21547/DbL2611,https://n2t.net/ark:/21547/DbJ263a80d098526458fb7361346cfe39a37,https://n2t.net/ark:/21547/DbK263a80d098526458fb7361346cfe39a37,FEBG,314
63a80d098526458fb7361346cfe39a37,Unknown,Tizi'n Tadderht,unknown,Unknown,63a80d098526458fb7361346cfe39a37,FossilSpecimen,Hippotherium  intrans,3918,Unknown,mm,depth of the medial side of talus,49,,,,MAFIV15782,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,10,mya,,,,,,,,,,,,,,,,,,10,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,10,https://n2t.net/ark:/21547/DbL23918,https://n2t.net/ark:/21547/DbJ263a80d098526458fb7361346cfe39a37,https://n2t.net/ark:/21547/DbK263a80d098526458fb7361346cfe39a37,FEBG,314
63a80d098526458fb7361346cfe39a37,Unknown,Tizi'n Tadderht,unknown,Unknown,63a80d098526458fb7361346cfe39a37,FossilSpecimen,Hippotherium  intrans,1879,Unknown,mm,breadth of the trochlea of talus,28.8,,,,MAFIV15782,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,10,mya,,,,,,,,,,,,,,,,,,10,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,10,https://n2t.net/ark:/21547/DbL21879,https://n2t.net/ark:/21547/DbJ263a80d098526458fb7361346cfe39a37,https://n2t.net/ark:/21547/DbK263a80d098526458fb7361346cfe39a37,FEBG,314
63a80d098526458fb7361346cfe39a37,Unknown,Tizi'n Tadderht,unknown,Unknown,63a80d098526458fb7361346cfe39a37,FossilSpecimen,Hippotherium  intrans,2705,Unknown,mm,talus width,61.7,,,,MAFIV15782,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,10,mya,,,,,,,,,,,,,,,,,,10,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,10,https://n2t.net/ark:/21547/DbL22705,https://n2t.net/ark:/21547/DbJ263a80d098526458fb7361346cfe39a37,https://n2t.net/ark:/21547/DbK263a80d098526458fb7361346cfe39a37,FEBG,314
63be23b49ea949889e5a19f35e628b46,Unknown,Tizi'n Tadderht,unknown,Unknown,63be23b49ea949889e5a19f35e628b46,FossilSpecimen,Hipparion prostylum,2611,Unknown,mm,talus width,46.9,,,,MNHNLub211dw,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,8,https://n2t.net/ark:/21547/DbL22611,https://n2t.net/ark:/21547/DbJ263be23b49ea949889e5a19f35e628b46,https://n2t.net/ark:/21547/DbK263be23b49ea949889e5a19f35e628b46,FEBG,314
63be23b49ea949889e5a19f35e628b46,Unknown,Tizi'n Tadderht,unknown,Unknown,63be23b49ea949889e5a19f35e628b46,FossilSpecimen,Hipparion prostylum,1785,Unknown,mm,breadth of the trochlea of talus,23.7,,,,MNHNLub211dw,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,,8,mya,,,,,,,,,,,,,,,,,not collected,,,,,,,,8,https://n2t.net/ark:/21547/DbL21785,https://n2t.net/ark:/21547/DbJ263be23b49ea949889e5a19f35e628b46,https://n2t.net/ark:/21547/DbK263be23b49ea949889e5a19f35e628b46,FEBG,314
63c16d819741475b944444393e2f3244,Unknown,Tizi'n Tadderht,unknown,Unknown,63c16d819741475b944444393e2f3244,FossilSpecimen,Hippotherium primigeneium,3314,Unknown,mm,calcaneus breadth,50,,,,HoC146,,,,,,,,,,Tizi'n Tadderht,,,,,,,,,,,,,,,,,10.3,mya,,,,,,,,,,,,,,,,,,10.3,mya,,,,,,,,,,,,,,,,,female,,,,,,,,10.3,https://n2t.net/ark:/21547/DbL23314,https://n2t.net/ark:/21547/DbJ263c16d819741475b944444393e2f3244,https://n2t.net/ark:/21547/DbK263c16d819741475b944444393e2f3244,FEBG,314
