Aethomys,{tail length},3
Aethomys chrysophilus,{body length},170
Aethomys chrysophilus,{body mass},168
Aethomys chrysophilus,{ear length to notch},169
Aethomys chrysophilus,{tail length},169
Aethomys granti,{body length},2
Aethomys granti,{body mass},2
Aethomys granti,{ear length to notch},2
Aethomys granti,{tail length},2
Aethomys hindei,{body length},27
Aethomys hindei,{body mass},34
Aethomys hindei,{ear length to notch},27
Aethomys hindei,{lower tooth row length},5
Aethomys hindei,{tail length},27
Aethomys hindei,{upper secondary molar tooth 1 occlusal surface width},5
Aethomys ineptus,{body length},7
Aethomys ineptus,{body mass},6
Aethomys ineptus,{ear length to notch},7
Aethomys ineptus,{tail length},7
Aethomys kaiseri,{body length},1
Aethomys kaiseri,{body mass},1
Aethomys kaiseri,{ear length to notch},1
Aethomys kaiseri,{tail length},1
Aethosciurus poensis,{body length},1
Aethosciurus poensis,{ear length to notch},1
Aethosciurus poensis,{tail length},1
Agouti paca,{body length},4
Agouti paca,{body mass},3
Agouti paca,{ear length to notch},4
Agouti paca,{tail length},4
Ailurops ursinus,{body length},1
Ailurops ursinus,{body mass},1
Ailurops ursinus,{ear length to notch},1
Ailurops ursinus,{tail length},1
Ailurus fulgens,{body length},10
Ailurus fulgens,{body mass},7
Ailurus fulgens,{ear length to notch},9
Ailurus fulgens,{tail length},11
Akodon,{body length},11
Akodon,{body mass},24
Akodon,{ear length to notch},66
Akodon,{tail length},10
Akodon aerosus,{body length},45
Akodon aerosus,{body mass},44
Akodon aerosus,{ear length to notch},43
Akodon aerosus,{tail length},45
Akodon affinis,{body length},2
Akodon affinis,{ear length to notch},2
Akodon affinis,{tail length},2
Akodon albiventer,{body length},87
Akodon albiventer,{body mass},84
Akodon albiventer,{ear length to notch},86
Akodon albiventer,{tail length},87
Akodon alterus,{body length},143
Akodon alterus,{body mass},147
Akodon alterus,{ear length to notch},142
Akodon alterus,{tail length},143
Akodon azarae,{body length},1025
Akodon azarae,{body mass},102
Akodon azarae,{ear length to notch},95
Akodon azarae,{tail length},101
Akodon boliviensis,{body length},64
Akodon boliviensis,{body mass},64
Akodon boliviensis,{ear length to notch},64
Akodon boliviensis,{tail length},63
Akodon budini,{body length},2
Akodon budini,{body mass},2
Akodon budini,{ear length to notch},2
Akodon budini,{tail length},2
Akodon canescens,{body length},2
Akodon canescens,{tail length},2
Akodon cursor,{body length},11
Akodon cursor,{body mass},11
Akodon cursor,{ear length to notch},11
Akodon cursor,{tail length},11
Akodon dayi,{body length},57
Akodon dayi,{body mass},47
Akodon dayi,{ear length to notch},58
Akodon dayi,{tail length},57
Akodon dolores,{body length},135
Akodon dolores,{body mass},137
Akodon dolores,{ear length to notch},130
Akodon dolores,{tail length},135
Akodon fumeus,{body length},28
Akodon fumeus,{body mass},28
Akodon fumeus,{ear length to notch},28
Akodon fumeus,{tail length},28
Akodon hirtus,{body length},1
Akodon hirtus,{ear length to notch},1
Akodon hirtus,{tail length},1
Akodon iniscatus,{body length},3
Akodon iniscatus,{body mass},3
Akodon iniscatus,{ear length to notch},3
Akodon iniscatus,{tail length},3
Akodon kofordi,{body length},5
Akodon kofordi,{body mass},6
Akodon kofordi,{ear length to notch},6
Akodon kofordi,{tail length},6
