eventID,country,locality,yearCollected,samplingProtocol,materialSampleID,basisOfRecord,scientificName,diagnosticID,measurementMethod,measurementUnit,measurementType,measurementValue,verbatimEventDate,catalogNumber,references,individualID,collectionCode,institutionCode,lifeStage,measurementRemarks,measurementDeterminedDate,measurementAccuracy,materialSampleType,decimalLatitude,decimalLongitude,verbatimLocality,verbatimLatitude,verbatimLongitude,verbatimElevation,verbatimDepth,minimumDepthInMeters,minimumElevationInMeters,maximumElevationInMeters,maximumDepthInMeters,latestAgeOrHighestStage,latestEonOrHighestEonotheme,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,group,formation,member,minimumChronometricAge,minimumChronometricAgeReferenceSystem,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,eventRemarks,culturalRegions,culturalContext,bed,culturalOccupationPeriod,culturalAffiliations,coordinateUncertaintyInMeters,chronometricAgeUncertaintyInYears,chronometricAgeUncertaintyMethod,chronometricAgeProtocol,chronometricAgeID,lithostratigraphicTerms,maximumChronometricAge,maximumChronometricAgeReferenceSystem,geologicalContextID,lowestBiostratigraphicZone,highestBiostratigraphicZone,stateProvince,waterBody,islandGroup,island,institutionID,datasetName,dynamicProperties,fieldNumber,informationWithheld,verbatimLifeStage,occurrenceID,otherCatalogNumbers,previousIdentifications,sex,measurementSide,measurementDeterminedBy,materialSampleCondition,ageEstimationMethod,ageUnit,ageValue,reproductiveCondition,verbatimAgeValue,Diagnostics_bcid,Event_bcid,Sample_bcid,expeditionCode,projectId
0e5a922b946248978c1c5eb541cd2d1a,Tanzania,Unknown,Unknown,Unknown,0e5a922b946248978c1c5eb541cd2d1a,FossilSpecimen,Aepyceros melampus,38,Unknown,mm,talus length,907.796,,,,82050,,AMNH,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guerametti,,,,,,,,,,,,,male,,,,,,,,Prime Adult (~3),https://n2t.net/ark:/21547/DUf238,https://n2t.net/ark:/21547/DUd20e5a922b946248978c1c5eb541cd2d1a,https://n2t.net/ark:/21547/DUe20e5a922b946248978c1c5eb541cd2d1a,AEPY,277
12fa01e205ab436f8b38a41b4fa918e5,Kenya,Unknown,Unknown,Unknown,12fa01e205ab436f8b38a41b4fa918e5,FossilSpecimen,Aepyceros melampus,10,Unknown,mm,humerus length,4727.447999999999,,,,163197,,Smithsonian,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,Young Adult (~2),https://n2t.net/ark:/21547/DUf210,https://n2t.net/ark:/21547/DUd212fa01e205ab436f8b38a41b4fa918e5,https://n2t.net/ark:/21547/DUe212fa01e205ab436f8b38a41b4fa918e5,AEPY,277
12fa01e205ab436f8b38a41b4fa918e5,Kenya,Unknown,Unknown,Unknown,12fa01e205ab436f8b38a41b4fa918e5,FossilSpecimen,Aepyceros melampus,31,Unknown,mm,femur length,5654.294,,,,163197,,Smithsonian,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,Young Adult (~2),https://n2t.net/ark:/21547/DUf231,https://n2t.net/ark:/21547/DUd212fa01e205ab436f8b38a41b4fa918e5,https://n2t.net/ark:/21547/DUe212fa01e205ab436f8b38a41b4fa918e5,AEPY,277
12fa01e205ab436f8b38a41b4fa918e5,Kenya,Unknown,Unknown,Unknown,12fa01e205ab436f8b38a41b4fa918e5,FossilSpecimen,Aepyceros melampus,46,Unknown,mm,talus length,974.3439999999999,,,,163197,,Smithsonian,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,Young Adult (~2),https://n2t.net/ark:/21547/DUf246,https://n2t.net/ark:/21547/DUd212fa01e205ab436f8b38a41b4fa918e5,https://n2t.net/ark:/21547/DUe212fa01e205ab436f8b38a41b4fa918e5,AEPY,277
1ad1c754db2f4947ba270dc0a9ec8d18,Kenya,Unknown,Unknown,Unknown,1ad1c754db2f4947ba270dc0a9ec8d18,FossilSpecimen,Aepyceros melampus,11,Unknown,mm,humerus length,4787.646,,,,163199,,Smithsonian,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,Prime Adult (~4),https://n2t.net/ark:/21547/DUf211,https://n2t.net/ark:/21547/DUd21ad1c754db2f4947ba270dc0a9ec8d18,https://n2t.net/ark:/21547/DUe21ad1c754db2f4947ba270dc0a9ec8d18,AEPY,277
1ad1c754db2f4947ba270dc0a9ec8d18,Kenya,Unknown,Unknown,Unknown,1ad1c754db2f4947ba270dc0a9ec8d18,FossilSpecimen,Aepyceros melampus,32,Unknown,mm,femur length,5710.428,,,,163199,,Smithsonian,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,Prime Adult (~4),https://n2t.net/ark:/21547/DUf232,https://n2t.net/ark:/21547/DUd21ad1c754db2f4947ba270dc0a9ec8d18,https://n2t.net/ark:/21547/DUe21ad1c754db2f4947ba270dc0a9ec8d18,AEPY,277
1ad1c754db2f4947ba270dc0a9ec8d18,Kenya,Unknown,Unknown,Unknown,1ad1c754db2f4947ba270dc0a9ec8d18,FossilSpecimen,Aepyceros melampus,47,Unknown,mm,talus length,984.5039999999999,,,,163199,,Smithsonian,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,Prime Adult (~4),https://n2t.net/ark:/21547/DUf247,https://n2t.net/ark:/21547/DUd21ad1c754db2f4947ba270dc0a9ec8d18,https://n2t.net/ark:/21547/DUe21ad1c754db2f4947ba270dc0a9ec8d18,AEPY,277
1d197388810048dcb77623823b3bc67c,Kenya,Unknown,Unknown,Unknown,1d197388810048dcb77623823b3bc67c,FossilSpecimen,Aepyceros melampus,17,Unknown,g,body mass,21863.152234,,,,163206,,Smithsonian,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,Prime Adult (~3),https://n2t.net/ark:/21547/DUf217,https://n2t.net/ark:/21547/DUd21d197388810048dcb77623823b3bc67c,https://n2t.net/ark:/21547/DUe21d197388810048dcb77623823b3bc67c,AEPY,277
1dbd981648e04c8b9abb0586b20c2877,Botswana,Unknown,Unknown,Unknown,1dbd981648e04c8b9abb0586b20c2877,FossilSpecimen,Aepyceros melampus,15,Unknown,g,body mass,68038.8555,,,,470198,,Smithsonian,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,Prime Adult (~4),https://n2t.net/ark:/21547/DUf215,https://n2t.net/ark:/21547/DUd21dbd981648e04c8b9abb0586b20c2877,https://n2t.net/ark:/21547/DUe21dbd981648e04c8b9abb0586b20c2877,AEPY,277
236ef66a367b49f6bbf32fc951476217,Tanzania,Unknown,Unknown,Unknown,236ef66a367b49f6bbf32fc951476217,FossilSpecimen,Aepyceros melampus,3,Unknown,mm,humerus length,4311.396,,,,261111,,Smithsonian,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,,,,,,Prime Adult,https://n2t.net/ark:/21547/DUf23,https://n2t.net/ark:/21547/DUd2236ef66a367b49f6bbf32fc951476217,https://n2t.net/ark:/21547/DUe2236ef66a367b49f6bbf32fc951476217,AEPY,277
