eventID,country,locality,yearCollected,samplingProtocol,materialSampleID,basisOfRecord,scientificName,diagnosticID,measurementMethod,measurementUnit,measurementType,measurementValue,verbatimEventDate,catalogNumber,references,individualID,collectionCode,institutionCode,lifeStage,measurementRemarks,measurementDeterminedDate,measurementAccuracy,materialSampleType,decimalLatitude,decimalLongitude,verbatimLocality,verbatimLatitude,verbatimLongitude,verbatimElevation,verbatimDepth,minimumDepthInMeters,minimumElevationInMeters,maximumElevationInMeters,maximumDepthInMeters,latestAgeOrHighestStage,latestEonOrHighestEonotheme,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,group,formation,member,minimumChronometricAge,minimumChronometricAgeReferenceSystem,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,eventRemarks,culturalRegions,culturalContext,bed,culturalOccupationPeriod,culturalAffiliations,coordinateUncertaintyInMeters,chronometricAgeUncertaintyInYears,chronometricAgeUncertaintyMethod,chronometricAgeProtocol,chronometricAgeID,lithostratigraphicTerms,maximumChronometricAge,maximumChronometricAgeReferenceSystem,geologicalContextID,lowestBiostratigraphicZone,highestBiostratigraphicZone,stateProvince,waterBody,islandGroup,island,institutionID,datasetName,dynamicProperties,fieldNumber,informationWithheld,verbatimLifeStage,occurrenceID,otherCatalogNumbers,previousIdentifications,sex,measurementSide,measurementDeterminedBy,materialSampleCondition,ageEstimationMethod,ageUnit,ageValue,reproductiveCondition,verbatimAgeValue,Diagnostics_bcid,Event_bcid,Sample_bcid,expeditionCode,projectId
00c6bab954e248238566f498fc476f16,Unknown,Not Collected,Unknown,Not Collected,00c6bab954e248238566f498fc476f16,PreservedSpecimen,Spermophilus beecheyi,253,Unknown,mm,pes length,57,,99903,,,,MVZ,,,,,,33.9312071,-117.00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,MVZ 99903,,,,,,,,,,,https://n2t.net/ark:/21547/DUj2253,https://n2t.net/ark:/21547/DUh200c6bab954e248238566f498fc476f16,https://n2t.net/ark:/21547/DUi200c6bab954e248238566f498fc476f16,BIOG,278
00c6bab954e248238566f498fc476f16,Unknown,Not Collected,Unknown,Not Collected,00c6bab954e248238566f498fc476f16,PreservedSpecimen,Spermophilus beecheyi,541,Unknown,mm,tail length,160,,99903,,,,MVZ,,,,,,33.9312071,-117.00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,MVZ 99903,,,,,,,,,,,https://n2t.net/ark:/21547/DUj2541,https://n2t.net/ark:/21547/DUh200c6bab954e248238566f498fc476f16,https://n2t.net/ark:/21547/DUi200c6bab954e248238566f498fc476f16,BIOG,278
00c6bab954e248238566f498fc476f16,Unknown,Not Collected,Unknown,Not Collected,00c6bab954e248238566f498fc476f16,PreservedSpecimen,Spermophilus beecheyi,829,Unknown,mm,body length with tail,420,,99903,,,,MVZ,,,,,,33.9312071,-117.00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,MVZ 99903,,,,,,,,,,,https://n2t.net/ark:/21547/DUj2829,https://n2t.net/ark:/21547/DUh200c6bab954e248238566f498fc476f16,https://n2t.net/ark:/21547/DUi200c6bab954e248238566f498fc476f16,BIOG,278
00c6bab954e248238566f498fc476f16,Unknown,Not Collected,Unknown,Not Collected,00c6bab954e248238566f498fc476f16,PreservedSpecimen,Spermophilus beecheyi,1117,Unknown,g,body mass,560,,99903,,,,MVZ,,,,,,33.9312071,-117.00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,MVZ 99903,,,,,,,,,,,https://n2t.net/ark:/21547/DUj21117,https://n2t.net/ark:/21547/DUh200c6bab954e248238566f498fc476f16,https://n2t.net/ark:/21547/DUi200c6bab954e248238566f498fc476f16,BIOG,278
00c6bab954e248238566f498fc476f16,Unknown,Not Collected,Unknown,Not Collected,00c6bab954e248238566f498fc476f16,PreservedSpecimen,Spermophilus beecheyi,1405,Unknown,mm,ear length to notch,25,,99903,,,,MVZ,,,,,,33.9312071,-117.00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,MVZ 99903,,,,,,,,,,,https://n2t.net/ark:/21547/DUj21405,https://n2t.net/ark:/21547/DUh200c6bab954e248238566f498fc476f16,https://n2t.net/ark:/21547/DUi200c6bab954e248238566f498fc476f16,BIOG,278
00c6bab954e248238566f498fc476f16,Unknown,Not Collected,Unknown,Not Collected,00c6bab954e248238566f498fc476f16,PreservedSpecimen,Spermophilus beecheyi,1693,Unknown,mm,tooth row length,11.33,,99903,,,,MVZ,,,,,,33.9312071,-117.00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,MVZ 99903,,,,,,,,,,,https://n2t.net/ark:/21547/DUj21693,https://n2t.net/ark:/21547/DUh200c6bab954e248238566f498fc476f16,https://n2t.net/ark:/21547/DUi200c6bab954e248238566f498fc476f16,BIOG,278
00dbcbdcd41148348512d0ea5b3bf027,Unknown,Not Collected,Unknown,Not Collected,00dbcbdcd41148348512d0ea5b3bf027,PreservedSpecimen,Spermophilus beecheyi,1562,Unknown,mm,tooth row length,11.39,,216228,,,,MVZ,,,,,,37.75139,-119.79149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,MVZ 216228,,,,,,,,,,,https://n2t.net/ark:/21547/DUj21562,https://n2t.net/ark:/21547/DUh200dbcbdcd41148348512d0ea5b3bf027,https://n2t.net/ark:/21547/DUi200dbcbdcd41148348512d0ea5b3bf027,BIOG,278
019945f69371416689f52708f805aa94,Unknown,Not Collected,Unknown,Not Collected,019945f69371416689f52708f805aa94,PreservedSpecimen,Spermophilus beecheyi,1635,Unknown,mm,tooth row length,11.9,,59728,,,,MVZ,,,,,,40.1656161,-122.80035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,MVZ 59728,,,,,,,,,,,https://n2t.net/ark:/21547/DUj21635,https://n2t.net/ark:/21547/DUh2019945f69371416689f52708f805aa94,https://n2t.net/ark:/21547/DUi2019945f69371416689f52708f805aa94,BIOG,278
033c88ba37794a3dbc6a2a5491a12845,Unknown,Not Collected,Unknown,Not Collected,033c88ba37794a3dbc6a2a5491a12845,PreservedSpecimen,Spermophilus beecheyi,1593,Unknown,mm,tooth row length,11.65,,27959,,,,MVZ,,,,,,39.5753379,-120.346803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,MVZ 27959,,,,,,,,,,,https://n2t.net/ark:/21547/DUj21593,https://n2t.net/ark:/21547/DUh2033c88ba37794a3dbc6a2a5491a12845,https://n2t.net/ark:/21547/DUi2033c88ba37794a3dbc6a2a5491a12845,BIOG,278
03ada48e0938463f9fb816a96601c250,Unknown,Not Collected,Unknown,Not Collected,03ada48e0938463f9fb816a96601c250,PreservedSpecimen,Spermophilus beecheyi,1485,Unknown,mm,tooth row length,11.43,,132596,,,,MVZ,,,,,,39.5128001,-123.079466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,MVZ 132596,,,,,,,,,,,https://n2t.net/ark:/21547/DUj21485,https://n2t.net/ark:/21547/DUh203ada48e0938463f9fb816a96601c250,https://n2t.net/ark:/21547/DUi203ada48e0938463f9fb816a96601c250,BIOG,278
03e7996c4700489cbb3f9571dcc0ed62,Unknown,Not Collected,Unknown,Not Collected,03e7996c4700489cbb3f9571dcc0ed62,PreservedSpecimen,Spermophilus beecheyi,266,Unknown,mm,pes length,53,,99917,,,,MVZ,,,,,,33.9115166,-116.796437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,MVZ 99917,,,,,,,,,,,https://n2t.net/ark:/21547/DUj2266,https://n2t.net/ark:/21547/DUh203e7996c4700489cbb3f9571dcc0ed62,https://n2t.net/ark:/21547/DUi203e7996c4700489cbb3f9571dcc0ed62,BIOG,278
03e7996c4700489cbb3f9571dcc0ed62,Unknown,Not Collected,Unknown,Not Collected,03e7996c4700489cbb3f9571dcc0ed62,PreservedSpecimen,Spermophilus beecheyi,554,Unknown,mm,tail length,140,,99917,,,,MVZ,,,,,,33.9115166,-116.796437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,MVZ 99917,,,,,,,,,,,https://n2t.net/ark:/21547/DUj2554,https://n2t.net/ark:/21547/DUh203e7996c4700489cbb3f9571dcc0ed62,https://n2t.net/ark:/21547/DUi203e7996c4700489cbb3f9571dcc0ed62,BIOG,278
03e7996c4700489cbb3f9571dcc0ed62,Unknown,Not Collected,Unknown,Not Collected,03e7996c4700489cbb3f9571dcc0ed62,PreservedSpecimen,Spermophilus beecheyi,842,Unknown,mm,body length with tail,400,,99917,,,,MVZ,,,,,,33.9115166,-116.796437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,MVZ 99917,,,,,,,,,,,https://n2t.net/ark:/21547/DUj2842,https://n2t.net/ark:/21547/DUh203e7996c4700489cbb3f9571dcc0ed62,https://n2t.net/ark:/21547/DUi203e7996c4700489cbb3f9571dcc0ed62,BIOG,278
03e7996c4700489cbb3f9571dcc0ed62,Unknown,Not Collected,Unknown,Not Collected,03e7996c4700489cbb3f9571dcc0ed62,PreservedSpecimen,Spermophilus beecheyi,1130,Unknown,g,body mass,760,,99917,,,,MVZ,,,,,,33.9115166,-116.796437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,MVZ 99917,,,,,,,,,,,https://n2t.net/ark:/21547/DUj21130,https://n2t.net/ark:/21547/DUh203e7996c4700489cbb3f9571dcc0ed62,https://n2t.net/ark:/21547/DUi203e7996c4700489cbb3f9571dcc0ed62,BIOG,278
03e7996c4700489cbb3f9571dcc0ed62,Unknown,Not Collected,Unknown,Not Collected,03e7996c4700489cbb3f9571dcc0ed62,PreservedSpecimen,Spermophilus beecheyi,1418,Unknown,mm,ear length to notch,21,,99917,,,,MVZ,,,,,,33.9115166,-116.796437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,MVZ 99917,,,,,,,,,,,https://n2t.net/ark:/21547/DUj21418,https://n2t.net/ark:/21547/DUh203e7996c4700489cbb3f9571dcc0ed62,https://n2t.net/ark:/21547/DUi203e7996c4700489cbb3f9571dcc0ed62,BIOG,278
03e7996c4700489cbb3f9571dcc0ed62,Unknown,Not Collected,Unknown,Not Collected,03e7996c4700489cbb3f9571dcc0ed62,PreservedSpecimen,Spermophilus beecheyi,1706,Unknown,mm,tooth row length,11.33,,99917,,,,MVZ,,,,,,33.9115166,-116.796437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,MVZ 99917,,,,,,,,,,,https://n2t.net/ark:/21547/DUj21706,https://n2t.net/ark:/21547/DUh203e7996c4700489cbb3f9571dcc0ed62,https://n2t.net/ark:/21547/DUi203e7996c4700489cbb3f9571dcc0ed62,BIOG,278
